Seat	Student	Attempt	Story	Turned in	What the work had to show — did it	What the work had to show — part of it, or none of it	What the work had to show — never came up (this run never asked)	What the work had to show — asked of this run (did it + part of it, or none of it, and what a mark is out of)	Workability (/2)	Protected priority (/2)	Trade-off (/2)	Numerical evidence (/4)	Reasoning (/10) — your own marks	BOW judgements you overruled	Skill: Separate what a person needs, wants, values and is saving toward, and use that separation to make a spending decision when there is not enough money for everything.	Skill: Build a plan that fits the money actually available, covers required costs, and gives savings a planned amount rather than whatever is left over.	Skill: Repair a plan after income or costs change, using only the money that can still move, and protect what was already committed.	Session
1	Amara Boateng	1	Eight Weeks to the Showcase	2026-08-19	12	0	1	12	2	2	1	3	8	0	Showed it	Evidence not all in	Showed it	4007c38c-25d5-418e-9dc4-fbc4a2c0dd3b
2	Diego Ramírez	1	Eight Weeks to the Showcase	2026-08-19	10	2	1	12	0	0	0	0	0	0	Not yet	Not yet	Showed it	8f58198c-56ae-4a0a-8771-9d7b7438ba21
3	Sofia Nguyen	1	Eight Weeks to the Showcase	2026-08-19	10	0	3	10						0	Evidence not all in	Evidence not all in	Showed it	b8288fcc-4905-4302-8db8-78b21006167c
3	Sofia Nguyen	2	Eight Weeks to the Showcase	2026-08-19	12	0	1	12	2	2	1	3	8	0	Showed it	Evidence not all in	Showed it	6a19956d-ddcc-4ea7-b2e9-9e72489506b9
4	Jayden Williams	1	Eight Weeks to the Showcase	2026-08-19	11	0	2	11	2	2	1	3	8	1	Showed it	Showed it	Evidence not all in	session-00000004
5	Mei-Ling Chen	1	Eight Weeks to the Showcase	2026-08-19	11	2	0	13	0	0	0	0	0	0	Not yet	Not yet	Showed it	session-00000005
6	Ravi Patel	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000006
7	Isabella Rossi	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	1	3	8	0	Showed it	Showed it	Showed it	session-00000007
8	Malik Johnson	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000008
9	Chloe O'Brien	1	Eight Weeks to the Showcase	2026-08-19	11	2	0	13	0	0	0	0	0	0	Not yet	Not yet	Showed it	session-00000009
10	Ahmed Hassan	1	Eight Weeks to the Showcase	2026-08-19	9	1	3	10	2	2	1	3	8	0	Showed it	Not yet	Evidence not all in	session-00000010
11	Emily Carter	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	1	3	8	0	Showed it	Showed it	Showed it	session-00000011
12	Luis Fernández	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000012
13	Zoe Kim	1	Eight Weeks to the Showcase	2026-08-19	11	2	0	13	0	0	0	0	0	0	Not yet	Not yet	Showed it	session-00000013
14	Tyrone Jackson	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000014
15	Priya Sharma	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	1	3	8	0	Showed it	Showed it	Showed it	session-00000015
16	Noah Goldberg	1	Eight Weeks to the Showcase	2026-08-19	10	1	2	11	2	2	1	3	8	0	Showed it	Not yet	Evidence not all in	session-00000016
17	Aaliyah Brooks	1	Eight Weeks to the Showcase	2026-08-19	11	2	0	13	0	0	0	0	0	0	Not yet	Not yet	Showed it	session-00000017
18	Mateo Silva	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000018
19	Hannah Kowalski	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	1	3	8	0	Showed it	Showed it	Showed it	session-00000019
20	Omar Farouk	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	1	3	8	0	Showed it	Not yet	Showed it	session-00000020
22	Ethan Murphy																	
23	Fatima Al-Rashid																	
24	Jordan Reyes																	
25	Nia Thompson																	
27	Leilani Kahale																	
28	DeShawn Carter-Wright																	
