Seat	Student	Attempt	Story	Turned in	What the work had to show — did it	What the work had to show — part of it, or none of it	What the work had to show — never came up (this run never asked)	What the work had to show — asked of this run (did it + part of it, or none of it, and what a mark is out of)	Workability (/2)	Protected priority (/2)	Trade-off (/2)	Numerical evidence (/4)	Reasoning (/10) — your own marks	BOW judgements you overruled	Skill: Separate what a person needs, wants, values and is saving toward, and use that separation to make a spending decision when there is not enough money for everything.	Skill: Build a plan that fits the money actually available, covers required costs, and gives savings a planned amount rather than whatever is left over.	Skill: Repair a plan after income or costs change, using only the money that can still move, and protect what was already committed.	Session
1	Ana R.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	2	4	10	0	Showed it	Showed it	Showed it	ba755988-06e5-40e0-9b26-d65b327754ce
2	Devon P.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	2	3	9	0	Showed it	Showed it	Showed it	75b88174-c884-41fa-b678-8875646df7fe
3	Leila H.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	1	1	1	2	5	0	Showed it	Showed it	Showed it	61de2c69-aa24-4cab-adae-77bbdf6672f1
4	Marcus T.	1	Eight Weeks to the Showcase	2026-08-19	9	4	0	13	0	0	0	0	0	0	Not yet	Not yet	Showed it	14aa2e12-6e9f-4a9b-8a39-8cb1ce4d8df8
5	Priya S.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	2	4	10	0	Showed it	Showed it	Showed it	f399d0b6-900c-4d7f-9153-8c6f894838e7
6	Jaylen W.																	
7	Sofia M.																	
8	Ibrahim K.	1	Eight Weeks to the Showcase	2026-08-19	11	2	0	13	0	0	0	2	2	0	Not yet	Not yet	Showed it	bcdb83e3-c36c-4f3f-b13d-0538cc55f2ac
9	Nina D.	1	Eight Weeks to the Showcase	2026-08-19	10	2	1	12	0	0	0	2	2	1	Not yet	Not yet	Showed it	2db916f9-2063-467a-bc54-81555fa0e8ae
10	Carlos V.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	1	1	1	2	5	0	Showed it	Showed it	Showed it	60b61577-d4bb-457e-8441-2026df87d767
10	Carlos V.	2	Eight Weeks to the Showcase	2026-08-19	11	0	2	11						0	Evidence not all in	Evidence not all in	Showed it	4ac96a47-7edf-46c3-b8f4-be6e473af282
11	Mei L.	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	2	2	2	4	10	0	Part way	Showed it	Showed it	dc7dcad7-763e-4d2f-8983-aec728193b6b
12	Tyrell B.	1	Eight Weeks to the Showcase	2026-08-19	12	1	0	13	1	1	1	2	5	0	Not yet	Showed it	Showed it	0dba4938-d509-4d35-b3eb-ba493724d88c
13	Hannah G.	1	Eight Weeks to the Showcase	2026-08-19	13	0	0	13	2	2	1	3	8	0	Showed it	Showed it	Showed it	6f9ef1b2-4826-47a8-a216-672411d717f4
14	Omar F.																	
